;year;SVP;Kon;FDP;CVP;Demo;SP;LDU;CSP;GP;Ind;BDP;Rad;Lib;Oth;Seat;Code
48;1850;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
49;1851;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
50;1852;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
51;1853;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
52;1854;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
53;1855;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
54;1856;0;0,33;0,67;0;0;0;0;0;0;0;0;0;0;0;9;ZH
55;1857;0;0,33;0,67;0;0;0;0;0;0;0;0;0;0;0;9;ZH
56;1858;0;0,33;0,67;0;0;0;0;0;0;0;0;0;0;0;9;ZH
57;1859;0;0,33;0,67;0;0;0;0;0;0;0;0;0;0;0;9;ZH
58;1860;0;0,33;0,67;0;0;0;0;0;0;0;0;0;0;0;9;ZH
59;1861;0;0,33;0,67;0;0;0;0;0;0;0;0;0;0;0;9;ZH
60;1862;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
61;1863;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
62;1864;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
63;1865;0;0,22;0,78;0;0;0;0;0;0;0;0;0;0;0;9;ZH
64;1866;0;0,11;0,78;0;0,11;0;0;0;0;0;0;0;0;0;9;ZH
65;1867;0;0,11;0,78;0;0,11;0;0;0;0;0;0;0;0;0;9;ZH
66;1868;0;0,11;0,78;0;0,11;0;0;0;0;0;0;0;0;0;9;ZH
67;1869;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;ZH
68;1870;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;ZH
69;1871;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;ZH
70;1872;0;0;0,14;0;0,86;0;0;0;0;0;0;0;0;0;7;ZH
71;1873;0;0;0,14;0;0,86;0;0;0;0;0;0;0;0;0;7;ZH
72;1874;0;0;0,14;0;0,86;0;0;0;0;0;0;0;0;0;7;ZH
73;1875;0;0;0,14;0;0,86;0;0;0;0;0;0;0;0;0;7;ZH
74;1876;0;0;0,14;0;0,86;0;0;0;0;0;0;0;0;0;7;ZH
75;1877;0;0;0,29;0;0,71;0;0;0;0;0;0;0;0;0;7;ZH
76;1878;0;0;0,29;0;0,71;0;0;0;0;0;0;0;0;0;7;ZH
77;1879;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
78;1880;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
79;1881;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
80;1882;0;0;0,29;0;0,71;0;0;0;0;0;0;0;0;0;7;ZH
81;1883;0;0;0,29;0;0,71;0;0;0;0;0;0;0;0;0;7;ZH
82;1884;0;0;0,29;0;0,71;0;0;0;0;0;0;0;0;0;7;ZH
83;1885;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
84;1886;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
85;1887;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
86;1888;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
87;1889;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
88;1890;0;0;0,43;0;0,57;0;0;0;0;0;0;0;0;0;7;ZH
